,Unnamed: 0,TRAN_DATE,TRAN_ID,TRAN_REMARKS,ACCOUNTNO,TRANAMOUNT,REFERENCENO
0,0,9/2/2022,S85305249,,0103SLMPSWDL,-319281971.66,OTHERS-P SETT DT01.0
1,1,9/2/2022,S85305249,,0103SLMPSWDL,-4042.22,OTHERS-P DIFF DT 31.
2,2,9/2/2022,S88796439,224500032693//10101170199,0103SLMPSWDL,-2774.9,
3,3,9/2/2022,S80939874,,0103SLMPSWDL,-6637715.58,-
4,4,9/2/2022,S80939874,,0103SLMPSWDL,-724835.83,-
5,5,9/2/2022,S80939874,,0103SLMPSWDL,-387245.81,-
6,6,9/2/2022,S85290736,,0103SLMPSWDL,-3300.0,OTHERS-
7,7,9/2/2022,S99485662,,0103SLMPSWDL,-345320044.88,-
8,8,9/2/2022,S88797032,224500032711//10101170199,0103SLMPSWDL,-521.15,
9,9,9/2/2022,S85321543,,0103SLMPSWDL,-246064.25,OTHERS-PMDU RVSL - D
10,10,9/2/2022,S85321543,,0103SLMPSWDL,-22934260.17,OTHERS-PMCI SETTLEME
11,11,9/2/2022,S85321543,,0103SLMPSWDL,-17507099.77,OTHERS-PMCI USD (DIF
12,12,9/2/2022,S85321543,,0103SLMPSWDL,-398007.07,OTHERS-PMCI REF-DT 3
13,13,9/2/2022,S85280052,,0103SLMPSWDL,-3274018.59,OTHERS-
14,14,9/2/2022,S85280052,,0103SLMPSWDL,-26486.2,OTHERS-
15,15,9/2/2022,S86021698,,0103SLMPSWDL,-1177766.84,-
16,16,9/2/2022,S86021698,,0103SLMPSWDL,-21706.7,-
17,17,9/2/2022,S86021698,,0103SLMPSWDL,-862388.0,-
18,18,9/2/2022,S86021698,,0103SLMPSWDL,-204362.32,-
19,19,9/2/2022,S86021698,,0103SLMPSWDL,-910654.62,-
20,20,9/2/2022,S88797130,224500032712//10101170199,0103SLMPSWDL,-521.15,
